Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,True,False
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,True,False
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,True,False
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,True,False
Solary,1546597380,486510,24470,3187,493207,143569,48799554,True,False
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,True,False
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,True,True
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,True,False
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,True,False
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,True,False
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,True,False
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,True,False
LEC,1470431925,45660,305119,28830,973727,551345,25924096,True,False
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,True,False
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,True,False
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,True,False
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,False,True
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,True,False
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,True,False
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,True,True
LCK,1351758525,37140,171861,36030,934688,307853,28970100,True,False
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,True,False
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,True,False
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,True,False
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,True,False
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,True,False
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,True,False
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,True,False
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,True,False
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,True,True
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,True,False
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,True,False
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,True,False
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,True,False
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,True,False
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,True,False
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,True,False
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,True,True
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,True,False
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,True,True
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,True,False
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,True,False
Vader,1110952500,184305,16289,5913,424374,57681,11535871,True,True
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,True,True
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,True,False
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,True,False
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,True,False
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,True,True
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,True,False
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,True,False
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,True,True
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,True,False
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,True,False
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,True,True
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,True,False
Sacriel,1002681105,163095,66781,5573,672403,136341,60194490,True,False
dakotaz,978947160,132615,43397,7112,4520305,489250,18504106,True,False
Stray228,972961650,93750,36971,10290,773712,197486,23738903,True,False
AdmiralBulldog,972317520,154845,16681,6198,694253,66513,17095676,True,True
pokimane,964334055,56505,112160,16026,5367605,2085831,45579002,True,False
lestream,955346835,253395,47638,3652,883706,124020,25815105,True,False
ybicanoooobov,938816460,114765,17036,8255,523512,101937,16237397,True,False
Method,905107560,230940,148350,4135,401400,132108,22813009,True,False
Nightblue3,899215845,118980,17738,7234,2641880,175130,19181711,True,False
EsfandTV,888938940,189045,29597,4393,471970,216021,24144005,True,False
shroud,888505170,30240,471281,29612,7744066,833587,30621257,True,False
NOBRU,888211260,38655,132224,22070,1549722,1400039,6781403,True,False
buster,884353800,59295,97838,14195,1087377,1052053,37351933,True,False
Scarra,864157695,138360,27421,6060,1242014,333090,15626904,True,False
Baiano,859718520,85860,107069,9229,425797,363343,19412227,True,False
괴물쥐123 (tmxk319),857951685,116400,71933,7173,427926,367486,17151766,True,False
WePlayEsport_RU,853324635,92970,115737,8627,346934,243137,28789066,True,False
elded,853049385,110940,44758,7699,2601858,1108422,14789437,True,False
LPL,850636305,48765,146577,17573,502467,280538,31029241,True,False
